"salesperson_id","dealership_id","title","first_name","last_name","suffix","username","gender","hire_date","termination_date"
226,20,NULL,"Moll","Kardos-Stowe",NULL,"mkardosstowe69","Female","2021-10-20 00:00:00",NULL
72,13,NULL,"Neron","Hamly",NULL,"nhamly1z","Male","2021-10-17 00:00:00",NULL
163,1,NULL,"Lyda","Prine",NULL,"lprine4i","Female","2021-10-15 00:00:00",NULL
254,2,NULL,"Pincus","Cowp",NULL,"pcowp71","Male","2021-10-13 00:00:00",NULL
39,1,NULL,"Massimiliano","McSpirron",NULL,"mmcspirron12","Male","2021-10-09 00:00:00",NULL
259,11,NULL,"Demetris","Gable",NULL,"dgable76","Male","2021-10-08 00:00:00",NULL
243,17,NULL,"Shandie","Allderidge",NULL,"sallderidge6q","Female","2021-09-30 00:00:00",NULL
92,1,"Rev","Sandye","Duny",NULL,"sduny2j","Female","2021-08-30 00:00:00",NULL
2,6,NULL,"Montague","Alcoran",NULL,"malcoran1","Male","2021-08-27 00:00:00",NULL
76,16,NULL,"Pablo","Fleming",NULL,"pfleming23","Male","2021-08-26 00:00:00",NULL
247,6,NULL,"Kahlil","Senior",NULL,"ksenior6u","Male","2021-08-23 00:00:00",NULL
117,9,NULL,"Gisela","Spurling",NULL,"gspurling38","Female","2021-08-21 00:00:00",NULL
71,2,NULL,"Georgianna","Bastian",NULL,"gbastian1y","Female","2021-08-19 00:00:00",NULL
91,7,NULL,"Napoleon","Heak",NULL,"nheak2i","Male","2021-08-18 00:00:00",NULL
89,14,NULL,"Letizia","Dober",NULL,"ldober2g","Female","2021-08-16 00:00:00",NULL
228,17,NULL,"Blakeley","Blaxill",NULL,"bblaxill6b","Female","2021-08-13 00:00:00",NULL
166,14,NULL,"Micah","Spalls",NULL,"mspalls4l","Male","2021-08-13 00:00:00",NULL
285,20,NULL,"Rog","Wardall",NULL,"rwardall7w","Male","2021-08-07 00:00:00",NULL
122,16,NULL,"Judie","Lages",NULL,"jlages3d","Female","2021-07-16 00:00:00",NULL
205,9,NULL,"Wilma","Millson",NULL,"wmillson5o","Female","2021-07-11 00:00:00",NULL
132,10,NULL,"Nikolai","Lomasney",NULL,"nlomasney3n","Male","2021-07-07 00:00:00",NULL
35,17,NULL,"Agnella","Linke",NULL,"alinkey","Female","2021-06-19 00:00:00",NULL
258,1,NULL,"Dorie","Dosedale",NULL,"ddosedale75","Male","2021-06-11 00:00:00",NULL
138,10,NULL,"Cathy","Rulf",NULL,"crulf3t","Female","2021-06-04 00:00:00",NULL
162,1,NULL,"Cristine","Gibbens",NULL,"cgibbens4h","Female","2021-06-03 00:00:00",NULL
103,7,NULL,"Pacorro","Howroyd",NULL,"phowroyd2u","Male","2021-05-30 00:00:00",NULL
276,15,NULL,"Corrine","Redmire",NULL,"credmire7n","Female","2021-05-30 00:00:00",NULL
23,2,NULL,"Beauregard","Peschke",NULL,"bpeschkem","Male","2021-05-09 00:00:00",NULL
158,18,NULL,"Collie","Donaway",NULL,"cdonaway4d","Female","2021-05-08 00:00:00",NULL
172,3,NULL,"Bink","Kemet",NULL,"bkemet4r","Male","2021-05-05 00:00:00",NULL
130,15,NULL,"Atlante","De Bernardis",NULL,"adebernardis3l","Female","2021-04-27 00:00:00",NULL
40,17,NULL,"Bertrando","Slay",NULL,"bslay13","Male","2021-04-16 00:00:00",NULL
213,12,NULL,"Kimberlyn","Dayce",NULL,"kdayce5w","Female","2021-04-03 00:00:00",NULL
194,17,NULL,"Gillie","Constance",NULL,"gconstance5d","Female","2021-04-02 00:00:00",NULL
170,1,NULL,"Giselbert","Schule",NULL,"gschule4p","Male","2021-03-28 00:00:00",NULL
283,13,NULL,"Thor","Sigmund",NULL,"tsigmund7u","Male","2021-03-27 00:00:00",NULL
82,17,NULL,"Giulietta","Schulke",NULL,"gschulke29","Female","2021-03-21 00:00:00",NULL
279,19,NULL,"Nicholle","Lisciandri",NULL,"nlisciandri7q","Female","2021-03-10 00:00:00",NULL
183,1,NULL,"Eleen","McAndie",NULL,"emcandie52","Female","2021-03-04 00:00:00",NULL
234,7,NULL,"Christin","Wannes",NULL,"cwannes6h","Female","2021-03-01 00:00:00",NULL
230,18,NULL,"Carmine","Garrow",NULL,"cgarrow6d","Male","2021-02-28 00:00:00",NULL
29,17,NULL,"Elsi","Hamer",NULL,"ehamers","Female","2021-02-25 00:00:00",NULL
192,6,NULL,"Hope","Kidstoun",NULL,"hkidstoun5b","Female","2021-02-23 00:00:00",NULL
286,18,NULL,"Katherina","Sambell",NULL,"ksambell7x","Female","2021-02-20 00:00:00",NULL
51,5,NULL,"Lanette","Gerriessen",NULL,"lgerriessen1e","Female","2021-02-18 00:00:00",NULL
95,18,NULL,"Krissie","Wollacott",NULL,"kwollacott2m","Female","2021-02-18 00:00:00",NULL
73,3,NULL,"Ives","Dooler",NULL,"idooler20","Male","2021-02-14 00:00:00",NULL
262,13,NULL,"Crissy","Robertazzi",NULL,"crobertazzi79","Female","2021-02-11 00:00:00",NULL
204,19,NULL,"Sheppard","Oleksinski",NULL,"soleksinski5n","Male","2021-02-07 00:00:00",NULL
69,15,NULL,"Clifford","Stoaks",NULL,"cstoaks1w","Male","2021-02-05 00:00:00",NULL
